date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2025/08/01,4054.9286,6670.472,8378.7351,4967.1691,5559.6384,1.3828,2.2754,0.9415,2.714,1.6788
2025/08/04,4070.7023,6739.6936,8413.6169,5019.0162,5601.6675,1.3883,2.3004,0.9457,2.7414,1.6903
2025/08/05,4103.45,6787.4806,8508.1966,5046.7534,5645.2615,1.4017,2.3179,0.9568,2.7572,1.7054
2025/08/06,4113.4852,6861.3091,8517.3285,5104.8154,5680.05,1.4042,2.3416,0.9576,2.7878,1.7139
2025/08/07,4114.666,6862.1497,8529.694,5095.8068,5679.9163,1.4067,2.3421,0.9613,2.7821,1.7148
,,,,,,,,,,
,,,,,,,,,,
