tid,tdate,codetype,zlhy
57689,20170718,IF,IF1707
57740,20170719,IF,IF1707
57791,20170720,IF,IF1708
57842,20170721,IF,IF1708
57893,20170724,IF,IF1708
57944,20170725,IF,IF1708
57995,20170726,IF,IF1708
58046,20170727,IF,IF1708
58097,20170728,IF,IF1708
58148,20170731,IF,IF1708
58199,20170801,IF,IF1708
58250,20170802,IF,IF1708
58301,20170803,IF,IF1708
58352,20170804,IF,IF1708
58403,20170807,IF,IF1708
58454,20170808,IF,IF1708
58505,20170809,IF,IF1708
58556,20170810,IF,IF1708
58607,20170811,IF,IF1708
58658,20170814,IF,IF1708
58709,20170815,IF,IF1708
58760,20170816,IF,IF1709
58811,20170817,IF,IF1709
58863,20170818,IF,IF1709
58915,20170821,IF,IF1709
58967,20170822,IF,IF1709
59019,20170823,IF,IF1709
59071,20170824,IF,IF1709
59123,20170825,IF,IF1709
59175,20170828,IF,IF1709
59227,20170829,IF,IF1709
59279,20170830,IF,IF1709
59331,20170831,IF,IF1709
59383,20170901,IF,IF1709
59435,20170904,IF,IF1709
59487,20170905,IF,IF1709
59539,20170906,IF,IF1709
59591,20170907,IF,IF1709
59643,20170908,IF,IF1709
59695,20170911,IF,IF1709
59747,20170912,IF,IF1709
59799,20170913,IF,IF1709
59851,20170914,IF,IF1710
59903,20170915,IF,IF1710
59955,20170918,IF,IF1710
60007,20170919,IF,IF1710
60059,20170920,IF,IF1710
60111,20170921,IF,IF1710
60163,20170922,IF,IF1710
60215,20170925,IF,IF1710
60267,20170926,IF,IF1710
60319,20170927,IF,IF1710
60371,20170928,IF,IF1710
60423,20170929,IF,IF1710
60475,20171009,IF,IF1710
60527,20171010,IF,IF1710
60579,20171011,IF,IF1710
60631,20171012,IF,IF1710
60683,20171013,IF,IF1710
60735,20171016,IF,IF1710
60787,20171017,IF,IF1710
60839,20171018,IF,IF1710
60891,20171019,IF,IF1711
60943,20171020,IF,IF1711
60995,20171023,IF,IF1711
61047,20171024,IF,IF1711
61099,20171025,IF,IF1711
61151,20171026,IF,IF1711
61203,20171027,IF,IF1711
61255,20171030,IF,IF1711
61307,20171031,IF,IF1711
61359,20171101,IF,IF1711
61411,20171102,IF,IF1711
61463,20171103,IF,IF1711
61515,20171106,IF,IF1711
61567,20171107,IF,IF1711
61619,20171108,IF,IF1711
61671,20171109,IF,IF1711
61723,20171110,IF,IF1711
61775,20171113,IF,IF1711
61827,20171114,IF,IF1711
61879,20171115,IF,IF1712
61931,20171116,IF,IF1712
61983,20171117,IF,IF1712
62035,20171120,IF,IF1712
62087,20171121,IF,IF1712
62139,20171122,IF,IF1712
62191,20171123,IF,IF1712
62243,20171124,IF,IF1712
62295,20171127,IF,IF1712
62347,20171128,IF,IF1712
62399,20171129,IF,IF1712
62451,20171130,IF,IF1712
62503,20171201,IF,IF1712
62555,20171204,IF,IF1712
62607,20171205,IF,IF1712
62659,20171206,IF,IF1712
62711,20171207,IF,IF1712
62763,20171208,IF,IF1712
62815,20171211,IF,IF1712
62867,20171212,IF,IF1712
62919,20171213,IF,IF1712
62971,20171214,IF,IF1801
63023,20171215,IF,IF1801
63075,20171218,IF,IF1801
63127,20171219,IF,IF1801
63179,20171220,IF,IF1801
63231,20171221,IF,IF1801
63284,20171222,IF,IF1801
63337,20171225,IF,IF1801
63390,20171226,IF,IF1801
63443,20171227,IF,IF1801
63496,20171228,IF,IF1801
63549,20171229,IF,IF1801
63602,20180102,IF,IF1801
63655,20180103,IF,IF1801
63708,20180104,IF,IF1801
63761,20180105,IF,IF1801
63814,20180108,IF,IF1801
63867,20180109,IF,IF1801
63920,20180110,IF,IF1801
63973,20180111,IF,IF1801
64026,20180112,IF,IF1801
64079,20180115,IF,IF1801
64132,20180116,IF,IF1801
64185,20180117,IF,IF1801
64238,20180118,IF,IF1802
64291,20180119,IF,IF1802
64344,20180122,IF,IF1802
64397,20180123,IF,IF1802
64450,20180124,IF,IF1802
64503,20180125,IF,IF1802
64556,20180126,IF,IF1802
64609,20180129,IF,IF1802
64662,20180130,IF,IF1802
64715,20180131,IF,IF1802
64768,20180201,IF,IF1802
64821,20180202,IF,IF1802
64874,20180205,IF,IF1802
64927,20180206,IF,IF1802
64980,20180207,IF,IF1802
65033,20180208,IF,IF1802
65086,20180209,IF,IF1802
65139,20180212,IF,IF1803
65192,20180213,IF,IF1803
65245,20180214,IF,IF1803
65298,20180222,IF,IF1803
65351,20180223,IF,IF1803
65404,20180226,IF,IF1803
65457,20180227,IF,IF1803
65510,20180228,IF,IF1803
65563,20180301,IF,IF1803
65616,20180302,IF,IF1803
65669,20180305,IF,IF1803
65722,20180306,IF,IF1803
65775,20180307,IF,IF1803
65828,20180308,IF,IF1803
65881,20180309,IF,IF1803
65934,20180312,IF,IF1803
65987,20180313,IF,IF1803
66040,20180314,IF,IF1803
66093,20180315,IF,IF1804
66146,20180316,IF,IF1804
66199,20180319,IF,IF1804
66252,20180320,IF,IF1804
66305,20180321,IF,IF1804
66358,20180322,IF,IF1804
66411,20180323,IF,IF1804
66464,20180326,IF,IF1804
66518,20180327,IF,IF1804
66572,20180328,IF,IF1804
66626,20180329,IF,IF1804
66680,20180330,IF,IF1804
66734,20180402,IF,IF1804
66788,20180403,IF,IF1804
66842,20180404,IF,IF1804
66896,20180409,IF,IF1804
66950,20180410,IF,IF1804
67004,20180411,IF,IF1804
67058,20180412,IF,IF1804
67112,20180413,IF,IF1804
67166,20180416,IF,IF1804
67220,20180417,IF,IF1804
67274,20180418,IF,IF1804
67328,20180419,IF,IF1805
67382,20180420,IF,IF1805
67436,20180423,IF,IF1805
67490,20180424,IF,IF1805
67544,20180425,IF,IF1805
67598,20180426,IF,IF1805
67652,20180427,IF,IF1805
67706,20180502,IF,IF1805
67760,20180503,IF,IF1805
67814,20180504,IF,IF1805
67868,20180507,IF,IF1805
67922,20180508,IF,IF1805
67976,20180509,IF,IF1805
68030,20180510,IF,IF1805
68084,20180511,IF,IF1805
68138,20180514,IF,IF1805
68192,20180515,IF,IF1805
68246,20180516,IF,IF1806
68300,20180517,IF,IF1806
68354,20180518,IF,IF1806
68408,20180521,IF,IF1806
68462,20180522,IF,IF1806
68516,20180523,IF,IF1806
68570,20180524,IF,IF1806
68624,20180525,IF,IF1806
68678,20180528,IF,IF1806
68732,20180529,IF,IF1806
68786,20180530,IF,IF1806
68840,20180531,IF,IF1806
68894,20180601,IF,IF1806
68948,20180604,IF,IF1806
69002,20180605,IF,IF1806
69056,20180606,IF,IF1806
69110,20180607,IF,IF1806
69164,20180608,IF,IF1806
69218,20180611,IF,IF1806
69272,20180612,IF,IF1806
69326,20180613,IF,IF1806
69380,20180614,IF,IF1807
69434,20180615,IF,IF1807
69488,20180619,IF,IF1807
69542,20180620,IF,IF1807
69596,20180621,IF,IF1807
69650,20180622,IF,IF1807
69704,20180625,IF,IF1807
69758,20180626,IF,IF1807
69812,20180627,IF,IF1807
69866,20180628,IF,IF1807
69919,20180629,IF,IF1807
69972,20180702,IF,IF1807
70025,20180703,IF,IF1807
70078,20180704,IF,IF1807
70131,20180705,IF,IF1807
70184,20180706,IF,IF1807
70237,20180709,IF,IF1807
70290,20180710,IF,IF1807
70343,20180711,IF,IF1807
70396,20180712,IF,IF1807
70449,20180713,IF,IF1807
70503,20180716,IF,IF1807
70557,20180717,IF,IF1807
70611,20180718,IF,IF1807
70665,20180719,IF,IF1808
70719,20180720,IF,IF1808
70773,20180723,IF,IF1808
70827,20180724,IF,IF1808
70881,20180725,IF,IF1808
70935,20180726,IF,IF1808
70989,20180727,IF,IF1808
71043,20180730,IF,IF1808
71097,20180731,IF,IF1808
71151,20180801,IF,IF1808
71205,20180802,IF,IF1808
71259,20180803,IF,IF1808
71313,20180806,IF,IF1808
71367,20180807,IF,IF1808
71421,20180808,IF,IF1808
71475,20180809,IF,IF1808
71529,20180810,IF,IF1808
71583,20180813,IF,IF1808
71637,20180814,IF,IF1808
71691,20180815,IF,IF1809
71745,20180816,IF,IF1809
71799,20180817,IF,IF1809
71854,20180820,IF,IF1809
71909,20180821,IF,IF1809
71964,20180822,IF,IF1809
72019,20180823,IF,IF1809
72074,20180824,IF,IF1809
72129,20180827,IF,IF1809
72184,20180828,IF,IF1809
72239,20180829,IF,IF1809
72294,20180830,IF,IF1809
72349,20180831,IF,IF1809
72404,20180903,IF,IF1809
72458,20180904,IF,IF1809
72512,20180905,IF,IF1809
72566,20180906,IF,IF1809
72620,20180907,IF,IF1809
72674,20180910,IF,IF1809
72728,20180911,IF,IF1809
72782,20180912,IF,IF1809
72836,20180913,IF,IF1809
72890,20180914,IF,IF1809
72944,20180917,IF,IF1809
72998,20180918,IF,IF1809
73052,20180919,IF,IF1809
73106,20180920,IF,IF1810
73160,20180921,IF,IF1810
73214,20180925,IF,IF1810
73268,20180926,IF,IF1810
73322,20180927,IF,IF1810
73376,20180928,IF,IF1810
73430,20181008,IF,IF1810
73484,20181009,IF,IF1810
73538,20181010,IF,IF1810
73592,20181011,IF,IF1810
73646,20181012,IF,IF1810
73700,20181015,IF,IF1810
73754,20181016,IF,IF1810
73809,20181017,IF,IF1810
73864,20181018,IF,IF1811
73919,20181019,IF,IF1811
73974,20181022,IF,IF1811
74029,20181023,IF,IF1811
74084,20181024,IF,IF1811
74139,20181025,IF,IF1811
74194,20181026,IF,IF1811
74249,20181029,IF,IF1811
74304,20181030,IF,IF1811
74359,20181031,IF,IF1811
74414,20181101,IF,IF1811
74469,20181102,IF,IF1811
74524,20181105,IF,IF1811
74579,20181106,IF,IF1811
74634,20181107,IF,IF1811
74689,20181108,IF,IF1811
74744,20181109,IF,IF1811
74799,20181112,IF,IF1811
74854,20181113,IF,IF1811
74909,20181114,IF,IF1812
74964,20181115,IF,IF1812
75019,20181116,IF,IF1812
75074,20181119,IF,IF1812
75129,20181120,IF,IF1812
75184,20181121,IF,IF1812
75239,20181122,IF,IF1812
75294,20181123,IF,IF1812
75349,20181126,IF,IF1812
75404,20181127,IF,IF1812
75460,20181128,IF,IF1812
75516,20181129,IF,IF1812
75572,20181130,IF,IF1812
75628,20181203,IF,IF1812
75684,20181204,IF,IF1812
75740,20181205,IF,IF1812
75796,20181206,IF,IF1812
75852,20181207,IF,IF1812
75909,20181210,IF,IF1812
75966,20181211,IF,IF1812
76023,20181212,IF,IF1812
76080,20181213,IF,IF1812
76137,20181214,IF,IF1812
76194,20181217,IF,IF1812
76251,20181218,IF,IF1812
76308,20181219,IF,IF1812
76365,20181220,IF,IF1901
76422,20181221,IF,IF1901
76479,20181224,IF,IF1901
76536,20181225,IF,IF1901
76593,20181226,IF,IF1901
76650,20181227,IF,IF1901
76707,20181228,IF,IF1901
76764,20190102,IF,IF1901
76821,20190103,IF,IF1901
76878,20190104,IF,IF1901
76935,20190107,IF,IF1901
76992,20190108,IF,IF1901
77049,20190109,IF,IF1901
77106,20190110,IF,IF1901
77163,20190111,IF,IF1901
77220,20190114,IF,IF1901
77277,20190115,IF,IF1901
77334,20190116,IF,IF1901
77391,20190117,IF,IF1902
77448,20190118,IF,IF1902
77505,20190121,IF,IF1902
77562,20190122,IF,IF1902
77619,20190123,IF,IF1902
77676,20190124,IF,IF1902
77733,20190125,IF,IF1902
77790,20190128,IF,IF1902
77847,20190129,IF,IF1902
77904,20190130,IF,IF1902
77961,20190131,IF,IF1902
78018,20190201,IF,IF1902
78075,20190211,IF,IF1902
78132,20190212,IF,IF1902
78189,20190213,IF,IF1903
78246,20190214,IF,IF1903
78303,20190215,IF,IF1903
78360,20190218,IF,IF1903
78417,20190219,IF,IF1903
78474,20190220,IF,IF1903
78531,20190221,IF,IF1903
78588,20190222,IF,IF1903
78645,20190225,IF,IF1903
78702,20190226,IF,IF1903
78759,20190227,IF,IF1903
78816,20190228,IF,IF1903
78873,20190301,IF,IF1903
78930,20190304,IF,IF1903
78987,20190305,IF,IF1903
79044,20190306,IF,IF1903
79101,20190307,IF,IF1903
79158,20190308,IF,IF1903
79215,20190311,IF,IF1903
79272,20190312,IF,IF1903
79329,20190313,IF,IF1903
79386,20190314,IF,IF1904
79443,20190315,IF,IF1904
79500,20190318,IF,IF1904
79557,20190319,IF,IF1904
79614,20190320,IF,IF1904
79671,20190321,IF,IF1904
79728,20190322,IF,IF1904
79785,20190325,IF,IF1904
79842,20190326,IF,IF1904
79899,20190327,IF,IF1904
79956,20190328,IF,IF1904
80013,20190329,IF,IF1904
80070,20190401,IF,IF1904
80127,20190402,IF,IF1904
80184,20190403,IF,IF1904
80241,20190404,IF,IF1904
80298,20190408,IF,IF1904
80355,20190409,IF,IF1904
80412,20190410,IF,IF1904
80469,20190411,IF,IF1904
80526,20190412,IF,IF1904
80583,20190415,IF,IF1904
80640,20190416,IF,IF1904
80697,20190417,IF,IF1904
80754,20190418,IF,IF1905
80811,20190419,IF,IF1905
80868,20190422,IF,IF1905
80925,20190423,IF,IF1905
80982,20190424,IF,IF1905
81039,20190425,IF,IF1905
81096,20190426,IF,IF1905
81153,20190429,IF,IF1905
81211,20190430,IF,IF1905
81269,20190506,IF,IF1905
81327,20190507,IF,IF1905
81385,20190508,IF,IF1905
81443,20190509,IF,IF1905
81501,20190510,IF,IF1905
81559,20190513,IF,IF1905
81617,20190514,IF,IF1905
81675,20190515,IF,IF1905
81733,20190516,IF,IF1906
81791,20190517,IF,IF1906
81849,20190520,IF,IF1906
81907,20190521,IF,IF1906
81965,20190522,IF,IF1906
82023,20190523,IF,IF1906
82081,20190524,IF,IF1906
82139,20190527,IF,IF1906
82197,20190528,IF,IF1906
82255,20190529,IF,IF1906
82313,20190530,IF,IF1906
82371,20190531,IF,IF1906
82429,20190603,IF,IF1906
82487,20190604,IF,IF1906
82545,20190605,IF,IF1906
82603,20190606,IF,IF1906
82661,20190610,IF,IF1906
82719,20190611,IF,IF1906
82777,20190612,IF,IF1906
82835,20190613,IF,IF1906
82893,20190614,IF,IF1906
82951,20190617,IF,IF1906
83009,20190618,IF,IF1906
83067,20190619,IF,IF1906
83125,20190620,IF,IF1907
83183,20190621,IF,IF1907
83241,20190624,IF,IF1907
83299,20190625,IF,IF1907
83357,20190626,IF,IF1907
83415,20190627,IF,IF1907
83473,20190628,IF,IF1907
83531,20190701,IF,IF1907
83589,20190702,IF,IF1907
83647,20190703,IF,IF1907
83705,20190704,IF,IF1907
83763,20190705,IF,IF1907
83821,20190708,IF,IF1907
83879,20190709,IF,IF1907
83937,20190710,IF,IF1907
83995,20190711,IF,IF1907
84053,20190712,IF,IF1907
84111,20190715,IF,IF1907
84169,20190716,IF,IF1907
84227,20190717,IF,IF1907
84285,20190718,IF,IF1908
84343,20190719,IF,IF1908
84401,20190722,IF,IF1908
84459,20190723,IF,IF1908
84517,20190724,IF,IF1908
84575,20190725,IF,IF1908
84633,20190726,IF,IF1908
84691,20190729,IF,IF1908
84749,20190730,IF,IF1908
84807,20190731,IF,IF1908
84865,20190801,IF,IF1908
84923,20190802,IF,IF1908
84981,20190805,IF,IF1908
85039,20190806,IF,IF1908
85097,20190807,IF,IF1908
85155,20190808,IF,IF1908
85213,20190809,IF,IF1908
85272,20190812,IF,IF1908
85332,20190813,IF,IF1908
85392,20190814,IF,IF1908
85452,20190815,IF,IF1909
85512,20190816,IF,IF1909
85573,20190819,IF,IF1909
85634,20190820,IF,IF1909
85695,20190821,IF,IF1909
85756,20190822,IF,IF1909
85817,20190823,IF,IF1909
85878,20190826,IF,IF1909
85939,20190827,IF,IF1909
86000,20190828,IF,IF1909
86061,20190829,IF,IF1909
86122,20190830,IF,IF1909
86183,20190902,IF,IF1909
86244,20190903,IF,IF1909
86305,20190904,IF,IF1909
86366,20190905,IF,IF1909
86427,20190906,IF,IF1909
86488,20190909,IF,IF1909
86549,20190910,IF,IF1909
86610,20190911,IF,IF1909
86671,20190912,IF,IF1909
86732,20190916,IF,IF1909
86793,20190917,IF,IF1909
86854,20190918,IF,IF1909
86915,20190919,IF,IF1910
86976,20190920,IF,IF1910
87037,20190923,IF,IF1910
87098,20190924,IF,IF1910
87159,20190925,IF,IF1910
87222,20190926,IF,IF1910
87285,20190927,IF,IF1910
87348,20190930,IF,IF1910
87411,20191008,IF,IF1910
87474,20191009,IF,IF1910
87537,20191010,IF,IF1910
87600,20191011,IF,IF1910
87663,20191014,IF,IF1910
87726,20191015,IF,IF1910
87789,20191016,IF,IF1910
87852,20191017,IF,IF1911
87915,20191018,IF,IF1911
87978,20191021,IF,IF1911
88041,20191022,IF,IF1911
88104,20191023,IF,IF1911
88167,20191024,IF,IF1911
88230,20191025,IF,IF1911
88293,20191028,IF,IF1911
88356,20191029,IF,IF1911
88419,20191030,IF,IF1911
88482,20191031,IF,IF1911
88545,20191101,IF,IF1911
88608,20191104,IF,IF1911
88671,20191105,IF,IF1911
88734,20191106,IF,IF1911
88797,20191107,IF,IF1911
88860,20191108,IF,IF1911
88923,20191111,IF,IF1911
88986,20191112,IF,IF1911
89049,20191113,IF,IF1911
89112,20191114,IF,IF1912
89175,20191115,IF,IF1912
89238,20191118,IF,IF1912
89301,20191119,IF,IF1912
89364,20191120,IF,IF1912
89427,20191121,IF,IF1912
89490,20191122,IF,IF1912
89553,20191125,IF,IF1912
89616,20191126,IF,IF1912
89679,20191127,IF,IF1912
89742,20191128,IF,IF1912
89805,20191129,IF,IF1912
89868,20191202,IF,IF1912
89931,20191203,IF,IF1912
89994,20191204,IF,IF1912
90057,20191205,IF,IF1912
90120,20191206,IF,IF1912
90184,20191209,IF,IF1912
90248,20191210,IF,IF1912
90312,20191211,IF,IF1912
90376,20191212,IF,IF1912
90440,20191213,IF,IF1912
90504,20191216,IF,IF1912
90568,20191217,IF,IF1912
90632,20191218,IF,IF1912
90696,20191219,IF,IF2001
90760,20191220,IF,IF2001
90824,20191223,IF,IF2001
90888,20191224,IF,IF2001
90952,20191225,IF,IF2001
91016,20191226,IF,IF2001
91080,20191227,IF,IF2001
91144,20191230,IF,IF2001
91208,20191231,IF,IF2001
91272,20200102,IF,IF2001
91336,20200103,IF,IF2001
91400,20200106,IF,IF2001
91464,20200107,IF,IF2001
91528,20200108,IF,IF2001
91592,20200109,IF,IF2001
91656,20200110,IF,IF2001
91720,20200113,IF,IF2001
91784,20200114,IF,IF2001
91848,20200115,IF,IF2001
91912,20200116,IF,IF2002
91976,20200117,IF,IF2002
92040,20200120,IF,IF2002
92104,20200121,IF,IF2002
92200,20200122,IF,IF2002
92264,20200123,IF,IF2002
92328,20200203,IF,IF2002
92392,20200204,IF,IF2002
92456,20200205,IF,IF2002
92520,20200206,IF,IF2002
92584,20200207,IF,IF2002
92648,20200210,IF,IF2002
92712,20200211,IF,IF2002
92776,20200212,IF,IF2002
92840,20200213,IF,IF2002
92904,20200214,IF,IF2002
92968,20200217,IF,IF2002
93032,20200218,IF,IF2002
93096,20200219,IF,IF2003
93160,20200220,IF,IF2003
93224,20200221,IF,IF2003
93288,20200224,IF,IF2003
93352,20200225,IF,IF2003
93416,20200226,IF,IF2003
93480,20200227,IF,IF2003
93544,20200228,IF,IF2003
93608,20200302,IF,IF2003
93672,20200303,IF,IF2003
93736,20200304,IF,IF2003
93800,20200305,IF,IF2003
93864,20200306,IF,IF2003
93928,20200309,IF,IF2003
93992,20200310,IF,IF2003
94056,20200311,IF,IF2003
94120,20200312,IF,IF2003
94184,20200313,IF,IF2003
94248,20200316,IF,IF2003
94312,20200317,IF,IF2003
94376,20200318,IF,IF2003
94440,20200319,IF,IF2004
94504,20200320,IF,IF2004
94568,20200323,IF,IF2004
94632,20200324,IF,IF2004
94696,20200325,IF,IF2004
94760,20200326,IF,IF2004
94824,20200327,IF,IF2004
94947,20200330,IF,IF2004
95012,20200331,IF,IF2004
95077,20200401,IF,IF2004
95142,20200402,IF,IF2004
95207,20200403,IF,IF2004
95272,20200407,IF,IF2004
95337,20200408,IF,IF2004
95402,20200409,IF,IF2004
95467,20200410,IF,IF2004
95532,20200413,IF,IF2004
95597,20200414,IF,IF2004
95662,20200415,IF,IF2004
95727,20200416,IF,IF2005
95792,20200417,IF,IF2005
95857,20200420,IF,IF2005
95922,20200421,IF,IF2005
95987,20200422,IF,IF2005
96052,20200423,IF,IF2005
96117,20200424,IF,IF2005
96182,20200427,IF,IF2005
96247,20200428,IF,IF2005
96312,20200429,IF,IF2005
96377,20200430,IF,IF2005
96442,20200506,IF,IF2005
96507,20200507,IF,IF2005
96572,20200508,IF,IF2005
96637,20200511,IF,IF2005
96702,20200512,IF,IF2005
96767,20200513,IF,IF2005
96832,20200514,IF,IF2006
96897,20200515,IF,IF2006
96962,20200518,IF,IF2006
97027,20200519,IF,IF2006
97092,20200520,IF,IF2006
97157,20200521,IF,IF2006
97222,20200522,IF,IF2006
97287,20200525,IF,IF2006
97352,20200526,IF,IF2006
97417,20200527,IF,IF2006
97482,20200528,IF,IF2006
97547,20200529,IF,IF2006
97612,20200601,IF,IF2006
97677,20200602,IF,IF2006
97742,20200603,IF,IF2006
97807,20200604,IF,IF2006
97872,20200605,IF,IF2006
97937,20200608,IF,IF2006
98002,20200609,IF,IF2006
98067,20200610,IF,IF2006
98132,20200611,IF,IF2006
98197,20200612,IF,IF2006
98262,20200615,IF,IF2006
98327,20200616,IF,IF2006
98392,20200617,IF,IF2006
98457,20200618,IF,IF2007
98522,20200619,IF,IF2007
98587,20200622,IF,IF2007
98653,20200623,IF,IF2007
98719,20200624,IF,IF2007
98785,20200629,IF,IF2007
98851,20200630,IF,IF2007
98917,20200701,IF,IF2007
98983,20200702,IF,IF2007
99049,20200703,IF,IF2007
99115,20200706,IF,IF2007
99181,20200707,IF,IF2007
99247,20200708,IF,IF2007
99313,20200709,IF,IF2007
99379,20200710,IF,IF2007
99445,20200713,IF,IF2007
99511,20200714,IF,IF2007
99577,20200715,IF,IF2007
99643,20200716,IF,IF2008
99709,20200717,IF,IF2008
99775,20200720,IF,IF2008
99841,20200721,IF,IF2008
99907,20200722,IF,IF2008
99973,20200723,IF,IF2008
100039,20200724,IF,IF2008
100105,20200727,IF,IF2008
100171,20200728,IF,IF2008
100237,20200729,IF,IF2008
100303,20200730,IF,IF2008
100369,20200731,IF,IF2008
100435,20200803,IF,IF2008
100501,20200804,IF,IF2008
100567,20200805,IF,IF2008
100633,20200806,IF,IF2008
100699,20200807,IF,IF2008
100765,20200810,IF,IF2008
100831,20200811,IF,IF2008
100897,20200812,IF,IF2008
100963,20200813,IF,IF2008
101029,20200814,IF,IF2008
101095,20200817,IF,IF2008
101161,20200818,IF,IF2008
101227,20200819,IF,IF2009
101293,20200820,IF,IF2009
101359,20200821,IF,IF2009
101425,20200824,IF,IF2009
101491,20200825,IF,IF2009
101557,20200826,IF,IF2009
101623,20200827,IF,IF2009
101689,20200828,IF,IF2009
101755,20200831,IF,IF2009
101821,20200901,IF,IF2009
101887,20200902,IF,IF2009
101953,20200903,IF,IF2009
102019,20200904,IF,IF2009
102085,20200907,IF,IF2009
102151,20200908,IF,IF2009
102217,20200909,IF,IF2009
102283,20200910,IF,IF2009
102349,20200911,IF,IF2009
102415,20200914,IF,IF2009
102481,20200915,IF,IF2009
102547,20200916,IF,IF2009
102613,20200917,IF,IF2010
102679,20200918,IF,IF2010
102745,20200921,IF,IF2010
102811,20200922,IF,IF2010
102877,20200923,IF,IF2010
102943,20200924,IF,IF2010
103009,20200925,IF,IF2010
103075,20200928,IF,IF2010
103141,20200929,IF,IF2010
103207,20200930,IF,IF2010
103273,20201009,IF,IF2010
103339,20201012,IF,IF2010
103406,20201013,IF,IF2010
103473,20201014,IF,IF2010
103540,20201015,IF,IF2011
103607,20201016,IF,IF2011
103674,20201019,IF,IF2011
103741,20201020,IF,IF2011
103808,20201021,IF,IF2011
103875,20201022,IF,IF2011
103942,20201023,IF,IF2011
104009,20201026,IF,IF2011
104076,20201027,IF,IF2011
104143,20201028,IF,IF2011
104210,20201029,IF,IF2011
104277,20201030,IF,IF2011
104344,20201102,IF,IF2011
104411,20201103,IF,IF2011
104478,20201104,IF,IF2011
104545,20201105,IF,IF2011
104612,20201106,IF,IF2011
105096,20201109,IF,IF2011
105163,20201110,IF,IF2011
105230,20201111,IF,IF2011
105297,20201112,IF,IF2011
105364,20201113,IF,IF2011
105431,20201116,IF,IF2011
105498,20201117,IF,IF2011
105565,20201118,IF,IF2012
105633,20201119,IF,IF2012
105701,20201120,IF,IF2012
105769,20201123,IF,IF2012
105837,20201124,IF,IF2012
105905,20201125,IF,IF2012
105973,20201126,IF,IF2012
106041,20201127,IF,IF2012
106109,20201130,IF,IF2012
106177,20201201,IF,IF2012
106245,20201202,IF,IF2012
106313,20201203,IF,IF2012
106381,20201204,IF,IF2012
106449,20201207,IF,IF2012
106517,20201208,IF,IF2012
106585,20201209,IF,IF2012
106653,20201210,IF,IF2012
106721,20201211,IF,IF2012
106789,20201214,IF,IF2012
106857,20201215,IF,IF2012
106925,20201216,IF,IF2012
106993,20201217,IF,IF2101
107061,20201218,IF,IF2101
107129,20201221,IF,IF2101
107197,20201222,IF,IF2101
107265,20201223,IF,IF2101
107333,20201224,IF,IF2101
107401,20201225,IF,IF2101
107469,20201228,IF,IF2101
107537,20201229,IF,IF2101
107605,20201230,IF,IF2101
107673,20201231,IF,IF2101
107741,20210104,IF,IF2101
107809,20210105,IF,IF2101
107877,20210106,IF,IF2101
107945,20210107,IF,IF2101
108013,20210108,IF,IF2101
108082,20210111,IF,IF2101
108151,20210112,IF,IF2101
108220,20210113,IF,IF2101
108289,20210114,IF,IF2103
108358,20210115,IF,IF2103
108427,20210118,IF,IF2103
108496,20210119,IF,IF2103
108565,20210120,IF,IF2103
108634,20210121,IF,IF2103
108703,20210122,IF,IF2103
108772,20210125,IF,IF2103
108841,20210126,IF,IF2103
108910,20210127,IF,IF2103
108979,20210128,IF,IF2103
109048,20210129,IF,IF2103
109117,20210201,IF,IF2103
109187,20210202,IF,IF2103
109257,20210203,IF,IF2103
109327,20210204,IF,IF2103
109397,20210205,IF,IF2103
109467,20210208,IF,IF2103
109537,20210209,IF,IF2103
109607,20210210,IF,IF2103
109677,20210218,IF,IF2103
109747,20210219,IF,IF2103
109817,20210222,IF,IF2103
109887,20210223,IF,IF2103
109957,20210224,IF,IF2103
110027,20210225,IF,IF2103
110097,20210226,IF,IF2103
110167,20210301,IF,IF2103
110237,20210302,IF,IF2103
110307,20210303,IF,IF2103
110377,20210304,IF,IF2103
110447,20210305,IF,IF2103
110517,20210308,IF,IF2103
110587,20210309,IF,IF2103
110657,20210310,IF,IF2103
110727,20210311,IF,IF2103
110797,20210312,IF,IF2103
110867,20210315,IF,IF2103
110937,20210316,IF,IF2103
111007,20210317,IF,IF2103
111077,20210318,IF,IF2104
111147,20210319,IF,IF2104
111217,20210322,IF,IF2104
111287,20210323,IF,IF2104
111357,20210324,IF,IF2104
111427,20210325,IF,IF2104
111497,20210326,IF,IF2104
111567,20210329,IF,IF2104
111637,20210330,IF,IF2104
111707,20210331,IF,IF2104
111777,20210401,IF,IF2104
111847,20210402,IF,IF2104
111917,20210406,IF,IF2104
111987,20210407,IF,IF2104
112057,20210408,IF,IF2104
112127,20210409,IF,IF2104
112197,20210412,IF,IF2104
112267,20210413,IF,IF2104
112337,20210414,IF,IF2104
112407,20210415,IF,IF2105
112477,20210416,IF,IF2105
112547,20210419,IF,IF2105
112617,20210420,IF,IF2105
112687,20210421,IF,IF2105
112757,20210422,IF,IF2105
112827,20210423,IF,IF2105
112897,20210426,IF,IF2105
112967,20210427,IF,IF2105
113037,20210428,IF,IF2105
113107,20210429,IF,IF2105
113177,20210430,IF,IF2105
113247,20210506,IF,IF2105
113317,20210507,IF,IF2105
113387,20210510,IF,IF2105
113457,20210511,IF,IF2105
113527,20210512,IF,IF2105
113597,20210513,IF,IF2105
113667,20210514,IF,IF2105
113737,20210517,IF,IF2105
113807,20210518,IF,IF2106
