id,date,business_name,pzdm,name,settlement,opening,highest_price,lowest_price,today_close,clearing,ups_downs_1,ups_downs_2,turnover_hand,empty_plate,increase_decrease,turnover_volume,delivery_settlement_price
1448557,20100429,F4,IF,IF1012,3341.4,3356,3364.4,3298.2,3298.2,3322.4,-43.2,-19,379,427,0,380313960,0
1924338,20100429,F4,IF,IF,0,3159.61,3173.38,3101.18,3102.4,0,0,0,121254,11020,0,0,0
1448558,20100430,F4,IF,IF1005,3114.4,3103,3119.6,3043,3107,3089.8,-7.4,-24.6,184157,8297,0,1.70E+11,0
1448559,20100430,F4,IF,IF1006,3155.2,3149,3157.8,3090.4,3149.4,3131,-5.8,-24.2,8139,1836,0,7634893560,0
1448560,20100430,F4,IF,IF1009,3240.4,3235.8,3252.4,3190,3243.2,3234,2.8,-6.4,426,312,0,411563460,0
1448561,20100430,F4,IF,IF1012,3322.4,3307.2,3339,3278.4,3326.8,3315.8,4.4,-6.6,658,473,0,652536180,0
1924313,20100430,F4,IF,IF,0,3121.2,3135.7532,3062.8591,3127.54,0,0,0,193380,10918,0,0,0
1448562,20100504,F4,IF,IF1005,3089.8,3079.8,3094.4,3060.8,3076.4,3069.4,-13.4,-20.4,150123,8261,0,1.39E+11,0
1448563,20100504,F4,IF,IF1006,3131,3128.6,3131.8,3102.2,3116.8,3110.8,-14.2,-20.2,6498,1930,0,6077007480,0
1448564,20100504,F4,IF,IF1009,3234,3210,3229.6,3201,3213,3208.2,-21,-25.8,468,337,0,451462380,0
1448565,20100504,F4,IF,IF1012,3315.8,3295,3310,3285,3294,3290.4,-21.8,-25.4,482,489,0,476790780,0
